0,n-6O6I7pmmpwkW2pCO-zDw,RJ9WlG7xvv8Yki9QUx1hgQ,"My tip for staying sane during the quarantine? Go to Indigo. But just for takeout, silly - stay home and save lives! 
I seriously don't know how I didn't...",5,2020-04-14 09:10:48
1,n-6O6I7pmmpwkW2pCO-zDw,-mKGFkpFQ7fRGcDIdK3pVA,I remember when Indigo first opened as a stand at Eastern Market and how good their Indirolls were. I'd been meaning to try their brick-and-mortar location....,5,2020-03-29 07:36:03
2,n-6O6I7pmmpwkW2pCO-zDw,ZwPkQ1pTYvmtrebgPZXa6Q,"Indigo offered awesome comfort food during this moment, and it was so so tasty and flavorful! 

The portion was very generous and we had enough for 2 big...",5,2020-03-22 19:31:49
3,CwdlygqT4cWwOtQGsYdoBw,IF7bXc5tWze_FRMx3_Fbtw,"With 3,000+ reviews already, I don't think I can add more praises to this fine dining establishment. In short- try it; the flavors are exceptional. 

It's...",5,2021-01-30 21:00:12
4,CwdlygqT4cWwOtQGsYdoBw,-tXHFeGqHJUHhC9Pw5bczg,"I am in DC on Jan 5th for business and staying near the Capital.  Between Covid and the lockdown regulations, there were virtually no sit-down restaurants...",5,2021-01-05 14:57:55
5,CwdlygqT4cWwOtQGsYdoBw,_JIJFUEW6ANUILcA8ir1KA,My second time at Rasika and it was just as enjoyable as the first. The restaurant interior is very classy and beautiful without feeling too stiff/uptight....,5,2020-12-03 19:24:46
6,jxTABk0jP7Y_kN3DCNiWbQ,GH6If0wSEYHAnH-K9sJI0w,"They have takeout, delivery and the option to dine in, with tables separated with a lot of space between them, and the staff wearing masks.

I had been to...",5,2021-02-15 13:46:41
7,jxTABk0jP7Y_kN3DCNiWbQ,dZlu2w8uE8SAQyORzFcDLQ,This has been one of my fav spots in DC for the last couple of  years. The food and the service is always awesome! The food is delicious and this is my...,5,2020-12-19 16:38:10
8,jxTABk0jP7Y_kN3DCNiWbQ,1hdt0bbZ6VSyWrwgat-YvA,"Got delivery from here the other day and absolutely loved everything. We had the Bombay Palak Chat, Samosas, Butter Chicken, Aloo Gobi, Tandoori Chicken,...",5,2021-01-11 22:06:21
9,jj1vSlzf-G1_vTJJ6ftsAA,_SwrCl0Jfu79wy6WyOFRSQ,"4.5 stars, rounding up because it survived delivery well. We ordered the gobi manchurian, lamb korma, bread basket, and a few other entrees.

I LOVED the...",5,2020-09-13 18:33:22
10,jj1vSlzf-G1_vTJJ6ftsAA,p3AGHJbDCgiEU-cLkP9EWA,"This is a really cute joint that's fitting for date night or night out with the girls. Prices are typical of the DC area, so it stacks up. It's worth it...",5,2021-02-01 19:13:42
11,jj1vSlzf-G1_vTJJ6ftsAA,tsZZlIEWaJ61p6WrjDbvhg,I remember visiting this place on the night of 1st Jan for dinner take out. Most of the places were closed and hence we ended up visiting this place and I...,5,2020-04-22 21:28:14
